CAS No.,英文名稱,中文名稱
104-95-0,4-Bromothioanisole,4-溴硫苯甲醚
104-95-0,4-Bromothioanisole,4-溴苯硫醚
104-96-1,4-(Methylthio)aniline,4-(甲硫基)苯胺
10419-77-9,Diethyl iodomethylphosphonate,碘甲基膦酸二乙酯
10442-39-4,Tetrabutylammonium cyanide,四丁基氰化銨
10450-60-9,Periodic acid,過碘酸
10485-09-3,2-Bromoindene,2-溴茚
105-07-7,4-Cyanobenzaldehyde,4-氰基苯甲醛
105-56-6,Ethyl cyanoacetate,氰乙酸乙酯
105-67-9,"2,4-Dimethylphenol","2,4-二甲基苯酚"
10534-59-5,Tetrabutylammonium acetate,四丁基醋酸銨
106-02-5,Pentadecanolide,十五內酯
106-24-1,Geraniol,香葉醇 (牻牛兒醇)
106-37-6,"1,4-Dibromobenzene","1,4-二溴苯"
106-38-7,4-Bromotoluene,4-溴甲苯
106-39-8,1-Bromo-4-chlorobenzene,1-溴-4-氯苯
106-40-1,4-Bromoaniline,4-溴苯胺
106-41-2,4-Bromophenol,4-溴苯酚
106-42-3,p-Xylene,對二甲苯
106-44-5,p-Cresol,對甲酚
106-45-6,p-Thiocresol,對硫甲酚 (4-甲基苯硫酚)
106-46-7,"1,4-Dichlorobenzene","1,4-二氯苯"
106-50-3,p-Phenylenediamine,對苯二胺
106-51-4,Quinone,苯醌
106-53-6,4-Bromobenzenethiol,4-溴苯硫酚
106-93-4,"1,2-Dibromoethane","1,2-二溴乙烷"
106-94-5,1-Bromopropane,1-溴丙烷
106-95-6,Allyl bromide,烯丙基溴 (3-溴丙烯)
106-95-6,Allyl bromide,烯丙基溴
106-96-7,3-Bromopropyne,3-溴丙炔 (炔丙基溴)
1066-35-9,Dimethylchlorosilane,二甲基氯矽烷
1066-45-1,Trimethyltin chloride,三甲基氯化錫
1066-54-2,Trimethylsilylacetylene,三甲基矽乙炔
1068-55-9,Isopropylmagnesium chloride,異丙基氯化鎂
107-03-9,1-Propanethiol,1-丙硫醇
107-06-2,"1,2-Dichloroethane","1,2-二氯乙烷"
107-13-1,Acrylonitrile,丙烯腈
107-15-3,Ethylenediamine,乙二胺
107-16-4,Glycolonitrile,乙醇腈
107-19-7,Propargyl alcohol,炔丙醇 (2-丙炔-1-醇)
107-19-7,Propargyl alcohol,炔丙醇
107-21-1,Ethylene glycol,乙二醇
107-37-9,Allyltrichlorosilane,烯丙基三氯矽烷
107-46-0,Hexamethyldisiloxane,六甲基二矽氧烷
107-47-1,tert-Butyl sulfide,叔丁基硫醚
107-72-2,Pentyltrichlorosilane,戊基三氯矽烷
107-82-4,1-Bromo-3-methylbutane,1-溴-3-甲基丁烷
107-86-8,3-Methyl-2-butenal,3-甲基-2-丁烯醛
107-92-6,Butyric acid,丁酸
107-96-0,3-Mercaptopropionic acid,3-巰基丙酸
1072-85-1,1-Bromo-2-fluorobenzene,1-溴-2-氟苯
1072-85-1,2-Bromofluorobenzene,2-溴氟苯 (1-溴-2-氟苯)
1072-85-1,2-Bromofluorobenzene,2-溴氟苯
1072951-51-9,"3,4-Bis(methoxycarbonyl)phenylboronic acid","3,4-雙(甲氧羰基)苯硼酸"
1073-06-9,3-Bromofluorobenzene,3-溴氟苯
1074-24-4,"2,5-Dibromo-p-xylene","2,5-二溴對二甲苯"
1074-36-8,4-Mercaptobenzoic acid,4-巰基苯甲酸
1074-82-4,Phthalimide potassium salt,鄰苯二甲醯亞胺鉀
1075-49-6,p-Vinylbenzoic acid,對乙烯基苯甲酸
1077-16-3,n-Hexylbenzene,正己基苯
108-01-0,2-Dimethylaminoethanol,2-二甲胺基乙醇
108-12-3,Isovaleryl chloride,異戊醯氯
108-18-9,Diisopropylamine,二異丙胺
108-24-7,Acetic anhydride,醋酸酐 (乙酸酐)
108-24-7,Acetic anhydride,乙酸酐
108-30-5,Succinic anhydride,丁二酸酐
108-31-6,Maleic anhydride,馬來酸酐
108-32-7,Propylene carbonate,碳酸丙烯酯
108-36-1,"1,3-Dibromobenzene","1,3-二溴苯"
108-44-1,m-Toluidine,間-甲苯胺
108-45-2,m-Phenylenediamine,間苯二胺
108-46-3,Resorcinol,雷索辛 (間苯二酚)
108-53-2,Isocytosine,異胞嘧啶
108-64-5,Ethyl isovalerate,異戊酸乙酯
108-67-8,Mesitylene,均三甲苯
108-67-8,"1,3,5-Trimethylbenzene (Mesitylene)","1,3,5-三甲苯 (均三甲苯)"
108-68-9,"3,5-Dimethylphenol","3,5-二甲基苯酚"
108-75-8,"2,4,6-Trimethylpyridine (Collidine)","2,4,6-三甲基吡啶"
108-86-1,Bromobenzene,溴苯
108-88-3,Toluene,甲苯
108-89-4,4-Picoline,4-甲基吡啶
108-90-7,Chlorobenzene,氯苯
108-93-0,Cyclohexanol,環己醇
108-95-2,Phenol,苯酚
108-98-5,Thiophenol,苯硫酚
108-99-6,3-Methylpyridine,3-甲基吡啶
1080-32-6,Diethyl benzylphosphonate,苄基膦酸二乙酯
1080-74-6,3-(Dicyanomethylidene)indan-1-one,3-二氰亞甲基-1-茚酮
1081-34-1,"2,2':5',2''-Terthiophene","2,2':5',2''-三噻吩"
109-02-4,Methylmorpholine,N-甲基嗎啉
109-63-7,Boron trifluoride diethyl etherate,三氟化硼乙醚錯合物
109-63-7,Boron trifluoride etherate,三氟化硼乙醚錯合物
109-64-8,"1,3-Dibromopropane","1,3-二溴丙烷"
109-65-9,1-Bromobutane,1-溴丁烷
109-66-0,Pentane,戊烷
109-70-6,1-bromo-3-chloropropane,1-溴-3-氯丙烷
109-72-8,n-Butyllithium,正丁基鋰
109-72-8,Butyllithium,正丁基鋰
109-73-9,Butylamine,正丁胺
109-76-2,"1,3-Diaminopropane","1,3-丙二胺"
109-77-3,Malononitrile,丙二腈
109-87-5,Methylal,甲縮醛 (二甲氧基甲烷)
109-89-7,Diethylamine,二乙胺
109-99-9,Tetrahydrofuran (THF),四氫呋喃
109-99-9,Tetrahydrofuran,四氫呋喃 (THF)
110-00-9,Furan,呋喃
110-02-1,Thiophene,噻吩
110-15-6,Succinic acid,琥珀酸 (丁二酸)
110-17-8,Fumaric acid,富馬酸 (反丁烯二酸)
110-19-0,Isobutyl acetate,乙酸異丁酯
110-46-3,Amyl nitrite,亞硝酸戊酯
110-52-1,"1,4-Dibromobutane","1,4-二溴丁烷"
110-53-2,1-Bromopentane,1-溴戊烷
110-54-3,Hexane,正己烷
110-60-1,"1,4-Diaminobutane","1,4-二胺基丁烷 (腐胺)"
110-63-4,"1,4-Butanediol","1,4-丁二醇"
110-65-6,"1,4-Butynediol","1,4-丁炔二醇"
110-66-7,1-Pentanethiol,1-戊硫醇
110-71-4,"1,2-Dimethoxyethane","1,2-二甲氧基乙烷 (DME)"
110-82-7,Cyclohexane,環己烷
110-86-1,Pyridine,吡啶
110-87-2,"3,4-Dihydro-2H-pyran","3,4-二氫-2H-吡喃"
110-89-4,Piperidine,哌啶 (六氫吡啶)
110-89-4,Piperidine,哌啶
110046-60-1,"5-Bromo-2,2'-bithiophene-5'-carboxaldehyde","5-溴-2,2'-聯噻吩-5'-甲醛"
1107-00-2,"4,4'-(Hexafluoroisopropylidene)diphthalic anhydride (6FDA)","4,4'-(六氟異丙亞基)二鄰苯二甲酸酐"
111-14-8,Heptanoic acid,庚酸
111-16-0,Pimelic acid,庚二酸
111-24-0,"1,5-dibromopentane","1,5-二溴戊烷"
111-25-1,1-Bromohexane,1-溴己烷
111-26-2,Hexylamine,正己胺
111-30-8,Glutaraldehyde,戊二醛
111-31-9,1-Hexanethiol,1-己硫醇
111-40-0,Diethylenetriamine,二乙烯三胺
111-46-6,Di(ethylene glycol),二甘醇
111-65-9,Octane,辛烷
111-66-0,1-Octene,1-辛烯
111-83-1,1-Bromooctane,1-溴辛烷
111-87-5,1-Octanol,1-辛醇
111-88-6,1-Octanethiol,1-辛硫醇
1118-61-2,3-Aminocrotononitrile,3-胺基巴豆腈
1119-51-3,5-Bromo-1-pentene,5-溴-1-戊烯
1119-60-4,6-Heptenoic acid,6-庚烯酸
112-02-7,Trimethylhexadecylammonium chloride,十六烷基三甲基氯化銨
112-04-9,Octadecyltrichlorosilane (OTS),十八烷基三氯矽烷
112-04-9,Octadecyltrichlorosilane,十八烷基三氯矽烷 (OTS)
112-13-0,n-Dodecanoyl chloride (Lauroyl chloride),十二醯氯 (月桂醯氯)
112-13-0,n-Dodecanoyl chloride,月桂醯氯 (十二醯氯)
112-16-3,Lauroyl chloride,月桂醯氯 (十二醯氯)
112-29-8,1-Bromodecane,1-溴癸烷
112-31-2,Decanal,癸醛
112-35-6,Triethylene glycol monomethyl ether,三乙二醇單甲醚
112-38-9,Undecylenic acid,十一烯酸
112-47-0,"1,10-Decanediol","1,10-癸二醇"
112-53-8,1-Dodecanol,1-十二醇 (月桂醇)
112-55-0,1-Dodecanethiol,1-十二硫醇
112-60-7,Tetraethylene glycol,四乙二醇
112-61-8,Methyl stearate,硬脂酸甲酯
112-64-1,Myristoyl chloride,肉豆蔻醯氯
112-66-3,Dodecyl acetate,乙酸十二酯
112-67-4,Palmitoyl chloride,棕櫚醯氯 (十六醯氯)
112-67-4,Palmitoyl chloride,棕櫚醯氯
112-71-0,1-Bromotetradecane,1-溴十四烷
112-82-3,1-Bromohexadecane,1-溴十六烷
112-85-6,Behenic acid,山嵛酸 (二十二酸)
112-86-7,Erucic acid,芥酸
112-88-9,1-Octadecene,1-十八烯
112-89-0,1-Bromooctadecane,1-溴十八烷
112-90-3,Oleylamine,油胺
112-92-5,1-Octadecanol (Stearyl alcohol),1-十八醇 (硬脂醇)
1120-36-1,1-Tetradecene,1-十四烯
1122-10-7,"2,3-Dibromomaleimide","2,3-二溴馬來醯亞胺"
1122-58-3,4-Dimethylaminopyridine (DMAP),4-二甲胺基吡啶 (DMAP)
